abaft,at or near the stern of a ship or tail of an airplane
abandon,forsake; leave behind
abandoned,forsaken by owner or inhabitants
abase,cause to feel shame
abash,cause to be embarrassed
abate,become less in amount or intensity
abbreviate,shorten
abdicate,give up such as power as of monarchs and emperors
abdication,the act of giving up power
abduct,take away to an undisclosed location against their will
aberrant,markedly different from an accepted norm
aberration,a state or condition markedly different from the norm
abet,assist or encourage usually in some wrongdoing
abeyance,temporary cessation or suspension
abhor,find repugnant
abide,dwell
abiding,unceasing
ability,the quality of having the means or skills to do something
abject,of the most contemptible kind
abjure,formally reject or disavow a formerly held belief
able,having the necessary means or skill to do something
able-bodied,having a strong healthy body
ablution,the act of washing oneself as for ritual purposes
abnegate,deny or renounce
abnegation,the denial and rejection of a doctrine or belief
abnormal,not typical or usual or regular
abolish,do away with
abolition,doing away with a system or practice or institution
abolitionist,a reformer who favors putting an end to slavery
abominate,find repugnant
abortive,failing to accomplish an intended result
above,in or to a place that is higher
abrasion,erosion by friction
abrasive,causing irritation or erosion by friction
abreast,alongside each other facing in the same direction
abridge,lessen diminish or curtail
abroad,to or in a foreign country
abrogate,revoke formally
abrogation,an official or legal cancellation
abrupt,exceedingly sudden and unexpected
abscissa,the value of a coordinate on the horizontal axis
abscond,run away often taking something or somebody along
absence,the state of being not present
absenteeism,habitual failure to be present from work
absolute,perfect or complete or pure
absolute value,a real number regardless of its sign
absolve,grant remission of a sin to
absorb,take in a liquid
abstain,refrain from doing consuming or partaking in something
abstemious,marked by temperance in indulgence
abstinence,the trait of refraining from something especially alcohol
abstinent,self-restraining
abstract,existing only in the mind
abstruse,difficult to penetrate
absurd,inconsistent with reason or logic or common sense
abundance,the property of a more than adequate quantity or supply
abundant,present in great quantity
abuse,cruel or inhumane treatment
abut,lie adjacent to another or share a boundary
abuzz,noisy like the sound of a bee
abysmal,so deep as to be immeasurable
abyss,a bottomless gulf or pit
academic,associated with an educational institution
accede,yield to another’s wish or opinion
accelerate,move faster
acceleration,an increase in rate of change
accentuate,stress or single out as important
accept,receive willingly something given or offered
acceptable,worthy of approval or satisfactory
acceptance,the state of being satisfactory
access,the right to enter
accessible,capable of being reached
accidental,happening by chance or unexpectedly or unintentionally
acclaim,enthusiastic approval
acclimatize,get used to a certain environment
acclivity,an upward slope or grade as in a road
accolade,a tangible symbol signifying approval or distinction
accommodate,have room for; hold without crowding
accommodating,obliging; willing to do favors
accompaniment,a musical part that supports other musical parts
accompany,go or travel along with
accomplice,a person who joins with another in carrying out some plan
accomplish,achieve with effort
accomplished,highly skilled
accord,concurrence of opinion
according,in agreement with
accordingly,in agreement with
accost,approach and speak to someone aggressively or insistently
account,a short report of the news
account,a record or narrative description of past events
account for,be the reason or explanation for
accountant,someone who maintains and audits financial records
accoutrement,accessory or supplementary item of equipment or clothing
accreditation,the act of granting official approval or recognition
accrete,grow together (of plants and organs)
accretion,an increase by natural growth or addition
accrue,grow by addition
accruement,the act of accumulating
accumulate,get or gather together
accumulated,periodically gathered over time
accumulation,the act of gathering up
accuracy,the quality of being near to the true value
accurate,characterized by perfect conformity to fact or truth
accurately,strictly correctly
accuse,blame for; make a claim of wrongdoing or misbehavior against
accustomed,commonly used or practiced; usual
ace,a playing card in a deck having a single pip on its face
acerbic,sour or bitter in taste
acerbic,harsh or corrosive in tone
achieve,gain with effort
achievement,the action of accomplishing something
acid,any of various water-soluble compounds having a sour taste
acidulous,being sour to the taste
acknowledge,declare to be true or admit the existence or reality of
acoustic,relating to the study of the physical properties of sound
acquiesce,agree or express agreement
acquire,come into the possession of something concrete or abstract
acquired,gotten through environmental forces
acquisition,something gained
acquisitive,eager to attain and possess material possessions
acquisitiveness,strong desire to obtain and possess
acquit,pronounce not guilty of criminal charges
acquittal,a judgment of not guilty
acquitted,declared not guilty of a specific offense or crime
acre,a unit of area used in English-speaking countries
acreage,an area of ground used for some particular purpose
acrid,strong and sharp as a taste or smell
acrimonious,marked by strong resentment or cynicism
acrimony,a rough and bitter manner
acrobatics,the gymnastic moves of an acrobat
acrophobia,a morbid fear of great heights
across,to the opposite side
acrylic,a glassy thermoplastic
act,behave in a certain manner
acting,the performance of a part or role in a drama
action,something done (usually as opposed to something said)
activate,put in motion
active,characterized by energetic movement
activism,a policy of action to achieve a political or social goal
activity,an organic process that takes place in the body
actual,existing in act or fact
actually,in fact
actuate,put in motion
acumen,shrewdness shown by keen insight
acupuncture,treatment of pain or disease by inserting the tips of needles at specific points on the skin
acute,ending in a sharp point
acute,extremely sharp or intense
acute angle,an angle less than 90 degrees but more than 0 degrees
adage,a condensed but memorable saying embodying an important fact
adamant,very hard native crystalline carbon valued as a gem
adamant,impervious to pleas persuasion requests or reason
adapt,make fit for or change to suit a new purpose
adaptation,the process of adjusting or conforming to new conditions
adaptive,having a capacity for change
add,join or combine or unite with others
addict,to cause to become dependent
addition,the arithmetic operation of summing
additional,further or extra
additive,characterized or produced by addition
addled,confused and vague; used especially of thinking
address,the place where a person or organization can be found
adenosine,a nucleoside that is a structural component of nucleic acids
adept,having or showing knowledge and skill and aptitude
adequate,having the requisite qualities or resources to meet a task
adequately,in a sufficient manner
adhere,stick to firmly
adherent,someone who believes and helps to spread a doctrine
adhesive,tending to stick to firmly
adipose,composed of animal fat
adiposity,having the property of containing fat
adjacent,having a common boundary or edge
adjudication,the final judgment in a legal proceeding
adjunct,something added to another thing but not essential to it
adjuration,a solemn and earnest appeal to someone to do something
adjure,command solemnly
adjust,alter or regulate so as to conform to a standard
adjusted,having the fit or style altered
ad-lib,perform without preparation
