,
arbitration,giving authoritative judgment
annulment,an official or legal cancellation
outlier,an extreme deviation from the mean
parochial,relating to or supported by or located in a parish
conciliation,the act of placating and overcoming distrust and animosity
injunction,a judicial remedy to prohibit a party from doing something
deleterious,harmful to living things
discordant,not in agreement or harmony
effrontery,audacious behavior that you have no right to
commensurate,corresponding in size or degree or extent
delineate,represented accurately or precisely
contention,the act of competing as for profit or a prize
distend,cause to expand as if by internal pressure
deterrent,something immaterial that interferes with action or progress
daunt,cause to lose courage
latent,potentially existing but not presently evident or realized
facetious,cleverly amusing in tone
apprise,inform somebody of something
abstemious,marked by temperance in indulgence
castigation,verbal punishment
endemic,native to or confined to a certain region
prevaricate,be deliberately ambiguous or unclear
felicitous,exhibiting an agreeably appropriate manner or style
capricious,determined by chance or impulse rather than by necessity
comity,a state or atmosphere of harmony or mutual civility
rift,a personal or social separation
deleterious,harmful to living things
spurious,plausible but false
effete,excessively self-indulgent, affected, or decadent
indelible,not able to be removed or erased
effrontery,audacious behavior that you have no right to
loom,come into view indistinctly, often threateningly
exemplify,clarify by giving an illustration of
palpable,capable of being perceived
precipitate,bring about abruptly
parlance,a manner of speaking natural to a language's native speakers
propensity,a natural inclination
verisimilitude,the appearance of truth; the quality of seeming to be true
parry,impede the movement of
construe,make sense of; assign a meaning to
narcissistic,having an inflated idea of one's own importance
schism,division of a group into opposing factions
parley,a negotiation between enemies
strident,unpleasantly loud and harsh
obtrude,push to thrust outward
realm,a domain in which something is dominant
obtuse,of an angle, between 90 and 180 degrees
pellucid,transmitting light; able to be seen through with clarity
pariah,a person who is rejected from society or home
sovereign,a nation's ruler usually by hereditary right
parsimonious,excessively unwilling to spend
obloquy,state of disgrace resulting from public abuse
phlegmatic,showing little emotion
subliminal,below the threshold of conscious perception
subsume,contain or include
salubrious,promoting health
prattle,speak about unimportant matters rapidly and incessantly
perfidious,tending to betray
sojourn,a temporary stay
syllogism,reasoning in which a conclusion is derived from two premises
quaff,swallow hurriedly or greedily or in one draught
rampart,an embankment built around a space for defensive purposes
subsidiary,functioning in a supporting capacity
nugatory,of no real value
steadfast,marked by firm determination or resolution; not shakable
scourge,something causing misery or death
protract,lengthen in time; cause to be or last longer
perfidious,tending to betray
meretricious,tastelessly showy
firmament,the sphere on which celestial bodies appear to be projected
gamut,a complete extent or range
respite,a pause from doing something
harangue,a loud bombastic declamation expressed with strong emotion
ignominious,deserving or bringing disgrace or shame
obsequious,attempting to win favor from influential people by flattery
purport,have the often misleading appearance of being or intending
boor,a crude uncouth ill-bred person lacking refinement
protract,lengthen in time; cause to be or last longer
bode,indicate by signs
squalid,foul and run-down and repulsive
cognitive,relating to or involving the mental process of knowing
stipulate,make an express demand or provision in an agreement
syncopation,a musical rhythm accenting a normally weak beat
reprobate,a person without moral scruples
deference,courteous regard for people's feelings
recondite,difficult to understand
adjure,command solemnly
catharsis,purging the body to stimulate evacuation of the bowels
gouge,an impression in a surface, as made by a blow
diaphanous,so thin as to transmit light
affectation,a deliberate pretense or exaggerated display
vicissitude,a variation in circumstances or fortune
