aberration,a state or condition markedly different from the norm
abhor,find repugnant
abide,dwell
abscond,run away often taking something or somebody along
abstruse,difficult to penetrate
abysmal,so deep as to be immeasurable
accolade,a tangible symbol signifying approval or distinction
acumen,shrewdness shown by keen insight
affable,diffusing warmth and friendliness
affinity,a natural attraction or feeling of kinship
aggravate,make worse
allegiance,the act of binding yourself to a course of action
alleviate,provide physical relief as from pain
alloy,a mixture containing two or more metallic elements
amalgamate,bring or combine together or with something else
ambivalent,uncertain or unable to decide about what course to follow
ameliorate,make better
anguish,extreme distress of body or mind
animosity,a feeling of ill will arousing active hostility
apartheid,a social policy of racial segregation
appease,make peace with
apt,being of striking pertinence
arcane,requiring secret or mysterious knowledge
articulate,express or state clearly
audacious,disposed to venture or take risks
auxiliary,furnishing added support
benefactor,a person who helps people or institutions
bogus,fraudulent; having a misleading appearance
brass,an alloy of copper and zinc
buoyant,tending to float on a liquid or rise in air or gas
catalyst,substance that initiates or accelerates a chemical reaction
chisel,an edge tool with a flat steel blade with a cutting edge
chortle,a soft partly suppressed laugh
clientele,customers collectively
colloquial,characteristic of informal spoken language or conversation
combustion,a reaction of a substance with oxygen to give heat and light
commemorate,call to remembrance
commuter,someone who travels regularly to and from work
complaisant,showing a cheerful willingness to do favors for others
conceal,prevent from being seen or discovered
concur,happen simultaneously
connoisseur,an expert able to appreciate a field
correlate,bear a reciprocal or mutual relation
cryptic,having a secret or hidden meaning
cumbersome,difficult to handle or use because of size or weight
curriculum,an integrated course of academic studies
derivative,a compound obtained from another compound
derivative,a word that comes from another word
dislodge,remove or force from a position previously occupied
divergence,moving away in different direction from a common point
dormant,inactive but capable of becoming active
dote,shower with love; show excessive affection for
dupe,fool or hoax
dwarf,a person who is markedly small
edible,suitable for use as food
edify,make understand
elaborate,marked by complexity and richness of detail
eloquence,powerful and effective language
encapsulate,enclose in or as if in a small container
endeavor,attempt by employing effort
endorse,approve of
engulf,flow over or cover completely
enigma,something that baffles understanding and cannot be explained
entice,provoke someone to do something through persuasion
enzyme,a complex protein produced by cells that acts as a catalyst
eradicate,destroy completely as if down to the roots
erratic,liable to sudden unpredictable change
eulogy,a formal expression of praise for someone who has died
euphoria,a feeling of great elation
evasive,avoiding or escaping from difficulty or danger
evoke,call forth as an emotion feeling or response
extinct,no longer in existence
extinguish,put out as of fires flames or lights
fidelity,the quality of being faithful
fleet,group of aircraft operating under the same ownership
foolproof,not liable to failure
forgery,criminal falsification by making or altering an instrument
foster,providing nurture though not related by blood or legal ties
fragile,easily broken or damaged or destroyed
gait,an animal’s manner of moving
garrulous,full of trivial conversation
gullible,naive and easily deceived or tricked
heterogeneous,consisting of elements not of the same kind or nature
hospitable,disposed to treat guests and strangers with generosity
immutable,not subject or susceptible to change or variation
impede,be a hindrance or obstacle to
impermeable,preventing especially liquids to pass or diffuse through
implicit,suggested though not directly expressed
implosion,a sudden inward collapse
impromptu,with little or no preparation or forethought
inclined,at an angle to the horizontal or vertical position
incongruous,lacking in harmony or compatibility or appropriateness
indigenous,originating where it is found
indulgent,given to yielding to the wishes of someone
infuriate,make extremely angry
ingest,take food drink or some other substance into the body
jabber,talk in a noisy excited or declamatory manner
judicious,marked by the exercise of common sense in practical matters
knit,make by needlework with interlacing yarn
lampoon,ridicule with satire
legacy,a gift of personal property by will
livid,furiously angry
luminary,a celebrity who is an inspiration to others
malevolent,wishing or appearing to wish evil to others
malleable,capable of being shaped or bent
massacre,the savage and excessive killing of many people
mesmerize,attract strongly as if with a magnet
meticulous,marked by precise accordance with details
misanthrope,someone who dislikes people in general
mite,small arachnid infesting animals or plants or stored foods
moribund,being on the point of death
negligent,characterized by undue lack of attention or concern
nihilism,complete denial of established authority and institutions
odor,any property detected by the sense of smell
offhand,with little or no preparation or forethought
paradigm,a standard or typical example
partisan,a fervent and even militant proponent of something
patron,someone who supports or champions something
perish,pass from physical life
perjury,criminal offense of making false statements under oath
permeate,spread or diffuse through
pertain,be relevant to
pest,a persistently annoying person
pivotal,being of crucial importance
plea,a humble request for help from someone in authority
predominate,be larger in number quantity power status or importance
premature,too soon or too hasty
reconcile,come to terms
redeem,exchange or buy back for money; under threat
refine,reduce to a pure state
reiterate,say state or perform again
reminiscent,serving to bring to mind
repel,force or drive back
repulsive,offensive to the mind
retrograde,moving or directed or tending in a backward direction
retrospective,concerned with or related to the past
riddle,pierce with many holes
salvage,rescuing a ship or its crew from a shipwreck or a fire
sanction,official permission or approval
satiate,fill to satisfaction
sequence,a following of one thing after another in time
shallow,lacking physical depth
shard,a broken piece of a brittle artifact
tadpole,a larval frog or toad
tractable,easily managed
turbulence,instability in the atmosphere
turmoil,a violent disturbance
volatile,liable to lead to sudden change or violence
warrant,formal and explicit approval
